"","mu1","mu2","sigma","delta","pi","BI"
"206522_at",3.54290416474852,3.82875993514754,0.817195800670448,0.349800831287318,0.546614946677538,0.174138655908316
"206567_s_at",8.50630455654344,9.24088158290298,0.271904994531596,2.70159445811203,0.950824024746874,0.584180049053542
"206617_s_at",3.88905580445366,5.8010183135478,0.750163092377912,2.54872910773774,0.181242732365523,0.981819296202572
"206799_at",3.82092073476623,3.97884380412049,0.537425788973758,0.293850932713552,0.484954204027885,0.146858930499426
"206817_x_at",7.31632091459978,7.45652438209756,0.324894265212489,0.431535679480452,0.474587638364742,0.215488978921935
"206963_s_at",5.06150923655136,5.24840673260881,0.438450013609276,0.426268651513843,0.594372619345101,0.209303467855013
"207392_x_at",5.97189973806401,8.93391048727367,0.70371152544531,4.20912638504149,0.930596807914893,1.06970116378145
"207473_at",5.604587101786,5.72872920285344,0.402292122034832,0.308586955269019,0.428501973314153,0.15270784347344
"207502_at",0.275854270555343,2.9433628792325,0.613719704761597,4.34646075069949,0.733491779845499,1.92171372644689
"207648_at",8.19595248505376,8.82839464111829,0.322150391059588,1.96318916138628,0.703555754337938,0.896567350924068
"207775_at",1.80927355001477,3.16431051033355,0.589319360569371,2.29932537598901,0.153713950803417,0.829307638833986
"207787_at",3.40439957341085,4.90892643904418,0.444173110028029,3.38725337411439,0.0272537284479775,0.551518942926478
"207792_at",2.77928658594935,4.8540049209939,0.581489521024046,3.56793761543771,0.0290110429075486,0.598833473269931
"207897_at",5.76829229244774,5.88706725716862,0.324069791180307,0.366510449148258,0.562710369200353,0.181808175891864
"208160_at",0.0201876789815029,2.5779938399506,0.158411369337242,16.1466072269332,0.993248274759342,1.3222621639717
"208216_at",5.32590194410783,6.40019802924068,0.443867850608376,2.42030614215557,0.843246464323664,0.879946443008661
"208240_s_at",6.59256692172115,6.80626705089713,0.399427696553595,0.535015801407535,0.659507727347789,0.253530482654266
"208260_at",7.95881629264863,8.36678582081346,0.275718948671584,1.47965720212715,0.615406951034205,0.719851686298919
"208288_at",2.56066572184659,4.74280608370875,0.68715841568274,3.17560014119022,0.326245364797538,1.48884288768183
"208612_at",11.0457781173925,11.3925083726922,0.451981014264417,0.767134557330777,0.511325209914851,0.383468873072691
"208793_x_at",7.03206362755193,7.43768456511553,0.601060274413393,0.674842365783488,0.373332571435516,0.326414047983941
"209029_at",8.60147179317885,8.86289733326316,0.367406876768939,0.711542316200913,0.521753034291692,0.355434300714715
"209197_at",7.36530756900054,8.41833349624634,0.325471313776654,3.23538782888994,0.965673751887582,0.589053484690678
"209393_s_at",8.01752278840066,8.8158074069078,0.459823090300526,1.73606901294452,0.135671672606244,0.594498753549675
"209499_x_at",6.78061671341977,8.33009955005218,0.711453474047253,2.17791168805157,0.0672135764338866,0.545330610555587
"209544_at",3.15939755660801,4.61403717177902,0.766878916264109,1.89683088727665,0.0791576980214019,0.512115383500931
"210341_at",1.90737166134328,5.40225866483017,0.955330299739367,3.65830226932022,0.966456151248812,0.658683992640811
"210626_at",2.41942806558907,4.23789969999119,0.600047188601748,3.03054771182178,0.0512645531167041,0.668347422109293
"210773_s_at",5.98675295767001,6.3824893626762,0.40041583993867,0.988313561888063,0.464095301697448,0.492881052396969
"211124_s_at",5.04496871631389,6.40016368672659,0.499602224798862,2.71254790940592,0.935999651654662,0.663905749874592
"211306_s_at",1.9211743283755,3.25818808840273,0.684370192975673,1.95364113421397,0.410194101819275,0.960935089015143
"211341_at",3.77866808399614,4.3062429378535,0.979566452382748,0.538579952972121,0.623332311292919,0.260969159905171
"211372_s_at",4.37401007637855,7.16698830753361,0.885035456391971,3.15578117349243,0.91688224714929,0.871185341778896
"211647_x_at",5.63797266705472,5.84410911790226,0.519599365501588,0.396721906402941,0.542247915157936,0.197651581275569
"211685_s_at",6.97579104934069,8.2028545411127,0.554726237303647,2.2120163231081,0.694386687917829,1.01900227689008
"211855_s_at",6.88780047395371,6.97169007492874,0.345791451846893,0.242601719987478,0.537732391580582,0.120954966665298
"212004_at",7.39610149189605,7.80033207720797,0.326859956315002,1.23670880296624,0.792379734881461,0.501613253428061
"212048_s_at",9.42754418281462,9.8750067483913,0.345505269541436,1.29509621132716,0.560277467792634,0.642825315433251
"212115_at",9.05884656941251,10.2912179484628,0.53365281665209,2.30931298513829,0.0214274983490594,0.334399051247629
"212323_s_at",7.49328341234435,9.64334032399467,0.521114177268987,4.12588450945274,0.990651455446326,0.397053939347997
"212357_at",7.56421574412606,7.78891849655263,0.39695244683474,0.566069699830111,0.584644903563155,0.27894961403881
"212415_at",5.70740454773812,7.29077928526037,0.437539596561418,3.61881473120567,0.00915064569431888,0.344584735429926
"212420_at",7.54871114090674,8.39240029556041,0.449966133150125,1.8750059004378,0.412251640320234,0.922952919236656
"212492_s_at",7.08135648811615,7.77894940417614,0.490578283594875,1.42198083239264,0.740149068670203,0.623613459044145
"212527_at",8.08034212315118,9.61752727302383,0.439225601533644,3.49976218258966,0.958367699478682,0.699068644230309
"212601_at",7.2607796830123,7.54847308103832,0.4475707433728,0.642788659191678,0.364554047396433,0.309377322758929
"212685_s_at",10.2330747261072,10.7523708575075,0.303732309563635,1.70971646759093,0.755064747628009,0.735261523449369
"212818_s_at",8.55819986749504,8.93845061407043,0.254897913250859,1.49177661647297,0.83183554691955,0.55794274208754
"213108_at",4.24209776544693,5.30328790049785,0.510094617487381,2.08037900944363,0.190453164278653,0.816878657238829
"213384_x_at",6.97178610170259,7.53061601310614,0.294000919826958,1.90077606468872,0.572137455917818,0.940444734854472
"213485_s_at",8.35975907413926,9.0821130879394,0.419636837590014,1.72137893791363,0.869825352856308,0.579236232804573
"213611_at",7.08083413063748,9.21364212993336,0.645830731891367,3.30242568830656,0.869678470211382,1.11178420020623
"214221_at",6.13962573842155,7.02911308491125,0.417596380884953,2.1300168947938,0.126951973705802,0.709123444942851
"214655_at",0.964165115425827,2.78163855886986,0.620199056011731,2.93046792933147,0.102348896400945,0.888244116534636
"214757_at",3.44845198199857,4.77308460518603,0.767529159467575,1.72584012847972,0.187560381991818,0.67370018052422
"214796_at",2.52034914085166,4.4193643474756,0.509419510281272,3.7278022696371,0.0399113792898089,0.729721089612249
"214874_at",4.35765386157273,5.16567375089612,0.509995400928195,1.58436701164909,0.183683698957221,0.61350814672579
"215080_s_at",3.49564702878529,4.30587877637096,0.491895876845104,1.64716108779422,0.119463483357316,0.534228861158288
"215101_s_at",3.90345981706154,8.45950043923055,1.16731073241245,3.90302298750665,0.851661325762347,1.38727247302863
"215157_x_at",11.4666229631592,12.4102799792567,0.292543632933334,3.22569664783165,0.0187476152333736,0.437508909364898
"215200_x_at",9.80682109701035,10.8589499404206,0.553799037831094,1.8998386987648,0.923026645398074,0.5064004185091
"215456_at",6.22043722213054,6.96130447332357,0.282044308273816,2.62677611091438,0.623304674702866,1.27282402847509
"215494_at",2.63393863917035,4.20914963884259,0.540781100798415,2.91284402754937,0.0641955916148077,0.713941087573833
"215687_x_at",4.11527312594077,5.3840504054067,0.453296619581901,2.79900009101368,0.0272793073458667,0.455946261798309
"215808_at",4.69088529216306,5.83237342497164,0.438919863376558,2.60067549467286,0.0305329629068534,0.44744242917967
"215833_s_at",6.28748436733077,6.75663576330147,0.275245413217216,1.70448397481726,0.426791167345843,0.843057256428664
"216126_at",8.26866424602656,9.12509136333345,0.312847175166119,2.73752549260555,0.915444393464067,0.761632313361322
"216320_x_at",7.90971225319082,9.77153182108328,0.657792723276505,2.83040462749211,0.746118182205543,1.23187924147016
"216437_at",4.89218027538625,6.26356916561895,0.389967911222516,3.51667111771713,0.00742490891883806,0.301897145019718
"216727_at",2.80891996581644,4.00816499100093,0.461908368936914,2.59628338829314,0.105531422708243,0.797674181459827
"216779_at",1.05440514313657,2.58114546664967,0.73497497267568,2.07726845167937,0.538153018408323,1.03560602973581
"216787_at",6.14483754125656,6.31751898004116,0.368716074289674,0.468331734973228,0.532302016510035,0.233676689709267
"216866_s_at",2.55935233498681,4.33979823729096,0.840105368695123,2.11931261083308,0.205648558629783,0.856572645771434
"216933_x_at",3.4006183178994,4.11389327315081,0.711167754202838,1.00296301545749,0.621016434339073,0.486571485035904
"217021_at",1.37440554077573,3.46098498389871,0.874055335972448,2.38723952277177,0.0723844567231584,0.618589671137609
"217306_at",2.31319317107933,3.54028215229294,0.451507637198645,2.71775908116864,0.114220751183669,0.864462607459368
"217393_x_at",6.15595349712603,6.90692447002214,0.458739509799148,1.63703138023779,0.165651291204058,0.608594770542405
"217434_at",2.911799902835,4.32490991537866,0.444302611511876,3.1805125064089,0.0630567036742912,0.773071020948109
"217512_at",4.96832879526754,5.05518729527189,0.429016228661181,0.202459707119707,0.530525266769599,0.101041027131193
"217645_at",6.9246341746061,7.3722251519076,0.347246022985074,1.28897366038584,0.589424545415494,0.634095458399226
"217782_s_at",7.82198936900346,7.9881638839201,0.486153115515111,0.341815180471615,0.551208251982697,0.170008890531732
"217895_at",8.21185958054743,8.436528072931,0.451255580209147,0.497874158762626,0.545194806463276,0.24791805058923
"217918_at",10.4793160609645,10.6379051282804,0.388400963692034,0.4083127544493,0.529495012361503,0.203800853635071
"218379_at",8.08813991878556,8.9684214534115,0.393387956304639,2.23769314875581,0.205630081786746,0.904388957699546
"218395_at",6.15974106801268,7.81778088853877,0.610525883842856,2.7157567998425,0.087410420368651,0.767026260025004
"218603_at",8.49785571474123,9.62384722172145,0.371765969401516,3.02876432932494,0.0609371758967245,0.724525987332603
"218652_s_at",8.34721077752243,9.23897810685182,0.417258539661471,2.13720569997894,0.102752790505745,0.648932005892247
"218677_at",7.68218450905097,10.467967132757,0.798103177047185,3.49050436562961,0.128209407019053,1.16695529927163
"219424_at",2.63152757954127,4.63526909075473,0.559072880091894,3.58404348085013,0.0223770366758224,0.530102989831881
"219536_s_at",5.81779121108888,6.88918090178049,0.370121573258307,2.89469668374042,0.911198242554968,0.82341785634506
"219620_x_at",6.62374075797291,8.09266359313387,0.511166217735893,2.87366962877018,0.159200163374969,1.05136835690339
"219792_at",6.28067836526625,6.50069976126643,0.391301188266685,0.562281440991239,0.383101321182353,0.273349002921012
